Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
34.0,0,1,9.0,2,2,2,4.0,0,3.0,1,4.0,0,1,0,0.0,1,17979.0
32.0,1,1,6.0,2,2,3,3.0,1,4.0,0,2.0,0,3,0,0.0,2,21220.0
30.0,1,3,11.0,2,1,2,3.0,3,3.0,0,3.0,0,4,1,1.0,3,24419.0
39.0,1,3,9.0,3,2,3,4.0,3,4.0,3,2.0,0,4,1,2.0,3,26029.0
37.0,0,1,31.0,2,1,3,4.0,1,4.0,1,2.0,0,3,1,2.0,2,24352.0
34.0,1,1,9.0,2,2,3,4.0,0,3.0,2,2.0,0,3,0,2.0,1,21178.0
27.0,0,1,7.0,2,1,4,6.0,0,3.0,1,5.0,0,4,1,3.0,1,23042.0
30.0,1,3,6.0,2,2,3,4.0,1,5.0,1,2.0,0,4,1,1.0,2,24714.0
53.0,0,1,32.0,3,1,3,5.0,4,3.0,1,5.0,0,5,0,2.0,0,32504.0
55.0,0,1,7.0,2,1,3,4.0,3,3.0,1,2.0,0,5,1,2.0,3,29180.0
46.0,0,1,6.0,3,2,2,4.0,3,5.0,0,3.0,1,2,1,1.0,3,25673.0
39.0,0,1,19.0,2,2,2,5.0,1,5.0,1,4.0,0,5,1,1.0,2,24966.0
54.0,0,2,32.0,2,1,1,2.0,4,3.0,2,3.0,1,3,1,0.0,0,32328.0
42.0,1,1,19.0,3,2,3,1.0,1,5.0,1,6.0,0,4,1,0.0,2,20538.0
33.0,1,1,12.0,2,1,3,2.0,0,3.0,1,5.0,0,5,1,2.0,1,21990.0
35.0,1,1,6.0,3,2,1,4.0,0,3.0,2,2.0,0,4,1,0.0,1,17859.0
39.0,1,1,16.0,3,2,3,3.0,3,3.0,3,1.0,0,3,1,0.0,3,28464.0
29.0,1,1,17.0,2,1,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,22338.0
23.0,0,1,11.0,1,2,3,5.0,0,3.0,3,7.0,0,5,1,1.0,1,22572.0
37.0,0,1,15.0,3,2,2,3.0,0,3.0,0,2.0,1,2,0,0.0,1,17326.0
33.0,1,1,10.0,3,1,4,4.0,1,5.0,1,3.0,0,1,1,1.0,2,25403.0
33.0,1,1,7.0,2,2,4,4.0,0,5.0,3,3.0,0,1,0,2.0,1,21634.0
50.0,0,1,25.0,2,2,4,4.0,1,3.0,1,3.0,1,1,0,1.0,2,25482.0
42.0,1,1,6.0,2,1,2,4.0,1,3.0,1,1.0,1,3,0,0.0,2,21062.0
43.0,0,1,33.0,3,1,3,4.0,3,5.0,1,5.0,1,3,0,1.0,3,31869.0
36.0,0,1,15.0,2,2,3,1.0,0,4.0,1,2.0,0,5,1,0.0,1,17810.0
27.0,1,3,8.0,3,1,2,1.0,1,3.0,3,1.0,0,1,0,1.0,2,21500.0
29.0,1,3,16.0,2,2,4,4.0,1,3.0,3,3.0,0,3,1,2.0,2,23931.0
34.0,1,1,12.0,2,1,4,5.0,0,3.0,0,3.0,0,2,0,3.0,1,21589.0
41.0,1,3,21.0,2,1,3,4.0,1,5.0,1,3.0,0,3,0,2.0,2,23317.0
32.0,1,3,20.0,3,2,4,5.0,1,5.0,1,7.0,1,1,1,1.0,2,20980.0
50.0,0,2,9.0,3,2,3,3.0,2,4.0,1,2.0,0,1,1,2.0,4,33200.0
24.0,0,3,30.0,3,2,2,3.0,0,3.0,1,1.0,0,4,1,1.0,1,17400.0
43.0,1,1,7.0,2,1,3,5.0,1,3.0,1,2.0,1,3,0,1.0,2,24740.0
39.0,1,1,16.0,3,2,3,3.0,1,5.0,1,3.0,0,5,1,2.0,2,20377.0
55.0,1,1,6.0,3,2,2,3.0,2,5.0,2,1.0,1,1,1,1.0,4,34045.0
33.0,0,1,10.0,2,0,3,4.0,0,3.0,3,3.0,0,4,1,1.0,1,24887.0
34.0,1,3,23.0,2,0,4,4.0,3,5.0,3,4.0,1,5,0,1.0,3,27242.0
25.0,1,1,25.0,2,2,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,21452.0
30.0,1,1,24.0,2,1,3,3.0,0,3.0,2,2.0,0,1,1,2.0,1,17632.0
32.0,0,3,12.0,3,1,3,4.0,0,4.0,1,3.0,0,3,0,1.0,1,21467.0
34.0,0,1,12.0,2,1,4,4.0,3,4.0,0,8.0,0,3,1,3.0,3,30556.0
50.0,1,1,30.0,2,2,3,3.0,4,3.0,1,4.0,1,4,1,2.0,0,28973.0
33.0,1,1,6.0,2,2,3,4.0,0,5.0,2,4.0,1,4,0,0.0,1,17799.0
36.0,0,3,18.0,3,2,3,4.0,1,3.0,1,3.0,0,5,0,1.0,2,23646.0
50.0,0,1,25.0,2,2,4,4.0,1,3.0,1,3.0,1,2,0,2.0,2,25482.0
49.0,0,3,14.0,3,1,4,4.0,0,3.0,1,4.0,1,4,1,2.0,1,21333.0
37.0,0,3,14.0,3,1,3,2.0,1,5.0,0,4.0,0,1,1,1.0,2,23317.0
30.0,1,1,24.0,2,1,3,3.0,0,3.0,2,2.0,0,2,1,0.0,1,17632.0
23.0,1,1,7.0,2,2,4,4.0,0,3.0,3,2.0,0,3,0,3.0,1,22053.0
34.0,1,1,33.0,3,1,3,3.0,0,4.0,2,3.0,0,3,0,0.0,1,17311.0
52.0,1,3,28.0,3,2,4,4.0,1,3.0,3,2.0,1,5,0,3.0,2,24119.0
27.0,0,3,36.0,3,2,4,6.0,1,5.0,3,2.0,0,3,0,1.0,2,23647.0
40.0,0,3,30.0,2,0,3,1.0,4,4.0,3,5.0,1,3,1,2.0,0,28194.0
44.0,1,1,8.0,2,1,3,1.0,0,3.0,0,2.0,0,4,1,0.0,1,17011.0
